Date,County,ED Visit Count,Hospitalization Count
4/7/2020,Spencer,0,0
4/8/2020,Spencer,1,0
4/9/2020,Spencer,1,1
4/10/2020,Spencer,0,0
4/11/2020,Spencer,1,0
4/12/2020,Spencer,0,0
4/13/2020,Spencer,0,0
4/14/2020,Spencer,0,0
4/15/2020,Spencer,0,0
4/16/2020,Spencer,0,0
4/17/2020,Spencer,0,0
4/18/2020,Spencer,1,0
4/19/2020,Spencer,0,1
4/20/2020,Spencer,1,1
4/21/2020,Spencer,0,0
4/22/2020,Spencer,0,0
4/23/2020,Spencer,0,0
4/24/2020,Spencer,0,0
4/25/2020,Spencer,0,0
4/26/2020,Spencer,0,0
4/27/2020,Spencer,0,0
4/28/2020,Spencer,0,0
4/29/2020,Spencer,0,0
4/30/2020,Spencer,0,0
5/1/2020,Spencer,0,0
5/2/2020,Spencer,0,0
5/3/2020,Spencer,0,0
5/4/2020,Spencer,0,0
5/5/2020,Spencer,0,0
5/6/2020,Spencer,0,0
5/7/2020,Spencer,0,0
5/8/2020,Spencer,0,0
5/9/2020,Spencer,0,0
5/10/2020,Spencer,0,0
5/11/2020,Spencer,0,0
5/12/2020,Spencer,0,0
5/13/2020,Spencer,0,0
5/14/2020,Spencer,0,0
5/15/2020,Spencer,0,0
5/16/2020,Spencer,0,0
5/17/2020,Spencer,0,0
5/18/2020,Spencer,0,0
5/19/2020,Spencer,0,0
5/20/2020,Spencer,0,0
5/21/2020,Spencer,0,0
5/22/2020,Spencer,0,0
5/23/2020,Spencer,0,0
5/24/2020,Spencer,0,0
5/25/2020,Spencer,0,0
5/26/2020,Spencer,1,1
5/27/2020,Spencer,0,0
5/28/2020,Spencer,0,0
5/29/2020,Spencer,0,0
5/30/2020,Spencer,0,0
5/31/2020,Spencer,0,0
6/1/2020,Spencer,0,0
6/2/2020,Spencer,0,0
6/3/2020,Spencer,0,0
6/4/2020,Spencer,0,0
6/5/2020,Spencer,0,0
6/6/2020,Spencer,0,0
6/7/2020,Spencer,0,0
6/8/2020,Spencer,0,0
6/9/2020,Spencer,0,0
6/10/2020,Spencer,0,0
6/11/2020,Spencer,0,0
6/12/2020,Spencer,0,0
6/13/2020,Spencer,1,0
6/14/2020,Spencer,0,0
6/15/2020,Spencer,0,0
6/16/2020,Spencer,0,0
6/17/2020,Spencer,0,0
6/18/2020,Spencer,0,0
6/19/2020,Spencer,0,0
6/20/2020,Spencer,0,0
6/21/2020,Spencer,0,0
6/22/2020,Spencer,0,0
6/23/2020,Spencer,0,0
6/24/2020,Spencer,0,0
6/25/2020,Spencer,0,0
6/26/2020,Spencer,1,0
6/27/2020,Spencer,0,0
6/28/2020,Spencer,0,0
6/29/2020,Spencer,0,0
6/30/2020,Spencer,1,0
7/1/2020,Spencer,0,0
7/2/2020,Spencer,0,0
7/3/2020,Spencer,0,0
7/4/2020,Spencer,0,0
7/5/2020,Spencer,0,0
7/6/2020,Spencer,2,1
7/7/2020,Spencer,0,0
7/8/2020,Spencer,0,0
7/9/2020,Spencer,1,0
7/10/2020,Spencer,0,0
7/11/2020,Spencer,0,0
7/12/2020,Spencer,0,0
7/13/2020,Spencer,0,0
7/14/2020,Spencer,1,0
7/15/2020,Spencer,0,0
7/16/2020,Spencer,0,0
7/17/2020,Spencer,0,1
7/18/2020,Spencer,0,0
7/19/2020,Spencer,0,0
7/20/2020,Spencer,0,0
7/21/2020,Spencer,0,0
7/22/2020,Spencer,1,0
7/23/2020,Spencer,2,0
7/24/2020,Spencer,1,1
7/25/2020,Spencer,0,0
7/26/2020,Spencer,0,0
7/27/2020,Spencer,0,0
7/28/2020,Spencer,1,0
7/29/2020,Spencer,0,0
7/30/2020,Spencer,1,0
7/31/2020,Spencer,1,0
8/1/2020,Spencer,0,0
8/2/2020,Spencer,0,0
8/3/2020,Spencer,1,0
8/4/2020,Spencer,0,0
8/5/2020,Spencer,0,0
8/6/2020,Spencer,0,0
8/7/2020,Spencer,0,0
8/8/2020,Spencer,0,0
8/9/2020,Spencer,0,0
8/10/2020,Spencer,1,0
8/11/2020,Spencer,1,0
8/12/2020,Spencer,0,0
8/13/2020,Spencer,0,0
8/14/2020,Spencer,0,0
8/15/2020,Spencer,0,0
8/16/2020,Spencer,0,0
8/17/2020,Spencer,0,1
8/18/2020,Spencer,0,0
8/19/2020,Spencer,0,0
8/20/2020,Spencer,0,0
8/21/2020,Spencer,0,0
8/22/2020,Spencer,2,0
8/23/2020,Spencer,0,0
8/24/2020,Spencer,0,0
8/25/2020,Spencer,0,0
8/26/2020,Spencer,0,1
8/27/2020,Spencer,0,1
8/28/2020,Spencer,0,0
8/29/2020,Spencer,0,0
8/30/2020,Spencer,0,0
8/31/2020,Spencer,1,1
9/1/2020,Spencer,0,0
9/2/2020,Spencer,0,0
9/3/2020,Spencer,0,0
9/4/2020,Spencer,0,0
9/5/2020,Spencer,2,1
9/6/2020,Spencer,1,2
9/7/2020,Spencer,2,0
9/8/2020,Spencer,0,0
9/9/2020,Spencer,0,1
9/10/2020,Spencer,2,1
9/11/2020,Spencer,0,0
9/12/2020,Spencer,0,0
9/13/2020,Spencer,1,1
9/14/2020,Spencer,2,1
9/15/2020,Spencer,0,1
9/16/2020,Spencer,0,0
9/17/2020,Spencer,2,1
9/18/2020,Spencer,2,0
9/19/2020,Spencer,0,0
9/20/2020,Spencer,0,0
9/21/2020,Spencer,1,0
9/22/2020,Spencer,0,0
9/23/2020,Spencer,0,0
9/24/2020,Spencer,1,0
9/25/2020,Spencer,1,0
9/26/2020,Spencer,0,0
9/27/2020,Spencer,1,0
9/28/2020,Spencer,4,1
9/29/2020,Spencer,0,0
9/30/2020,Spencer,0,0
10/1/2020,Spencer,2,1
10/2/2020,Spencer,0,0
10/3/2020,Spencer,0,0
10/4/2020,Spencer,1,0
10/5/2020,Spencer,2,0
10/6/2020,Spencer,0,0
10/7/2020,Spencer,1,1
10/8/2020,Spencer,1,0
10/9/2020,Spencer,0,0
10/10/2020,Spencer,0,0
10/11/2020,Spencer,2,0
10/12/2020,Spencer,0,0
10/13/2020,Spencer,0,0
10/14/2020,Spencer,0,0
10/15/2020,Spencer,0,0
10/16/2020,Spencer,0,0
10/17/2020,Spencer,0,0
10/18/2020,Spencer,1,2
10/19/2020,Spencer,2,0
10/20/2020,Spencer,0,0
10/21/2020,Spencer,1,1
10/22/2020,Spencer,1,1
10/23/2020,Spencer,0,1
10/24/2020,Spencer,1,1
10/25/2020,Spencer,0,0
10/26/2020,Spencer,1,0
10/27/2020,Spencer,0,0
10/28/2020,Spencer,1,1
10/29/2020,Spencer,0,0
10/30/2020,Spencer,0,0
10/31/2020,Spencer,0,0
11/1/2020,Spencer,0,0
11/2/2020,Spencer,0,0
11/3/2020,Spencer,3,1
11/4/2020,Spencer,1,1
11/5/2020,Spencer,5,1
11/6/2020,Spencer,0,1
11/7/2020,Spencer,0,0
11/8/2020,Spencer,0,1
11/9/2020,Spencer,1,0
11/10/2020,Spencer,1,0
11/11/2020,Spencer,0,0
11/12/2020,Spencer,0,1
11/13/2020,Spencer,0,0
11/14/2020,Spencer,0,2
11/15/2020,Spencer,2,1
11/16/2020,Spencer,0,1
11/17/2020,Spencer,0,0
11/18/2020,Spencer,1,0
11/19/2020,Spencer,1,1
11/20/2020,Spencer,0,0
11/21/2020,Spencer,0,1
11/22/2020,Spencer,2,1
11/23/2020,Spencer,1,1
11/24/2020,Spencer,2,0
11/25/2020,Spencer,2,1
11/26/2020,Spencer,0,0
11/27/2020,Spencer,0,1
11/28/2020,Spencer,1,0
11/29/2020,Spencer,4,0
3/1/2020,St Joseph,4,1
3/2/2020,St Joseph,4,3
3/3/2020,St Joseph,5,6
3/4/2020,St Joseph,2,2
3/5/2020,St Joseph,3,3
3/6/2020,St Joseph,1,3
3/7/2020,St Joseph,1,2
3/8/2020,St Joseph,5,1
3/9/2020,St Joseph,4,0
3/10/2020,St Joseph,7,1
3/11/2020,St Joseph,2,0
3/12/2020,St Joseph,4,0
3/13/2020,St Joseph,2,0
3/14/2020,St Joseph,3,3
3/15/2020,St Joseph,4,1
3/16/2020,St Joseph,8,3
3/17/2020,St Joseph,3,1
3/18/2020,St Joseph,7,1
3/19/2020,St Joseph,5,1
3/20/2020,St Joseph,2,0
3/21/2020,St Joseph,3,1
3/22/2020,St Joseph,6,1
3/23/2020,St Joseph,6,4
3/24/2020,St Joseph,5,1
3/25/2020,St Joseph,7,2
3/26/2020,St Joseph,5,1
3/27/2020,St Joseph,5,1
3/28/2020,St Joseph,6,1
3/29/2020,St Joseph,2,0
3/30/2020,St Joseph,7,2
3/31/2020,St Joseph,7,4
4/1/2020,St Joseph,8,2
4/2/2020,St Joseph,7,3
4/3/2020,St Joseph,6,2
4/4/2020,St Joseph,8,5
4/5/2020,St Joseph,2,1
4/6/2020,St Joseph,5,1
4/7/2020,St Joseph,7,4
4/8/2020,St Joseph,2,1
4/9/2020,St Joseph,7,4
4/10/2020,St Joseph,4,2
4/11/2020,St Joseph,5,1
4/12/2020,St Joseph,7,2
4/13/2020,St Joseph,5,3
4/14/2020,St Joseph,13,5
4/15/2020,St Joseph,11,5
4/16/2020,St Joseph,2,2
4/17/2020,St Joseph,6,4
4/18/2020,St Joseph,6,3
4/19/2020,St Joseph,8,2
4/20/2020,St Joseph,4,2
4/21/2020,St Joseph,9,1
4/22/2020,St Joseph,2,1
4/23/2020,St Joseph,3,2
4/24/2020,St Joseph,6,5
4/25/2020,St Joseph,6,3
4/26/2020,St Joseph,9,5
4/27/2020,St Joseph,11,4
4/28/2020,St Joseph,5,5
4/29/2020,St Joseph,1,2
4/30/2020,St Joseph,8,3
5/1/2020,St Joseph,4,2
5/2/2020,St Joseph,7,2
5/3/2020,St Joseph,10,6
5/4/2020,St Joseph,6,4
5/5/2020,St Joseph,9,1
5/6/2020,St Joseph,7,3
5/7/2020,St Joseph,4,3
5/8/2020,St Joseph,9,4
5/9/2020,St Joseph,6,4
5/10/2020,St Joseph,10,2
5/11/2020,St Joseph,4,3
5/12/2020,St Joseph,4,4
5/13/2020,St Joseph,8,6
5/14/2020,St Joseph,9,4
5/15/2020,St Joseph,8,9
5/16/2020,St Joseph,6,1
5/17/2020,St Joseph,7,3
5/18/2020,St Joseph,18,8
5/19/2020,St Joseph,10,5
5/20/2020,St Joseph,10,2
5/21/2020,St Joseph,6,0
5/22/2020,St Joseph,12,4
5/23/2020,St Joseph,14,1
5/24/2020,St Joseph,4,0
5/25/2020,St Joseph,10,5
5/26/2020,St Joseph,10,2
5/27/2020,St Joseph,10,2
5/28/2020,St Joseph,7,1
5/29/2020,St Joseph,9,0
5/30/2020,St Joseph,8,3
5/31/2020,St Joseph,9,2
6/1/2020,St Joseph,5,3
6/2/2020,St Joseph,5,3
6/3/2020,St Joseph,4,1
6/4/2020,St Joseph,9,2
6/5/2020,St Joseph,6,3
6/6/2020,St Joseph,3,4
6/7/2020,St Joseph,2,2
6/8/2020,St Joseph,11,5
6/9/2020,St Joseph,17,5
6/10/2020,St Joseph,12,4
6/11/2020,St Joseph,6,1
6/12/2020,St Joseph,15,3
6/13/2020,St Joseph,7,1
6/14/2020,St Joseph,7,2
6/15/2020,St Joseph,8,1
6/16/2020,St Joseph,8,3
6/17/2020,St Joseph,7,1
6/18/2020,St Joseph,6,4
6/19/2020,St Joseph,9,3
6/20/2020,St Joseph,7,2
6/21/2020,St Joseph,5,2
6/22/2020,St Joseph,10,8
6/23/2020,St Joseph,8,1
6/24/2020,St Joseph,12,3
6/25/2020,St Joseph,12,4
6/26/2020,St Joseph,4,4
6/27/2020,St Joseph,8,1
6/28/2020,St Joseph,10,3
6/29/2020,St Joseph,9,2
6/30/2020,St Joseph,10,3
7/1/2020,St Joseph,4,5
7/2/2020,St Joseph,11,3
7/3/2020,St Joseph,13,4
7/4/2020,St Joseph,17,9
7/5/2020,St Joseph,8,4
7/6/2020,St Joseph,9,3
7/7/2020,St Joseph,10,5
7/8/2020,St Joseph,12,4
7/9/2020,St Joseph,16,6
7/10/2020,St Joseph,6,2
7/11/2020,St Joseph,9,3
7/12/2020,St Joseph,22,7
7/13/2020,St Joseph,5,5
7/14/2020,St Joseph,15,10
7/15/2020,St Joseph,10,1
7/16/2020,St Joseph,7,5
7/17/2020,St Joseph,6,1
7/18/2020,St Joseph,6,3
7/19/2020,St Joseph,6,4
7/20/2020,St Joseph,11,4
7/21/2020,St Joseph,14,3
7/22/2020,St Joseph,18,7
7/23/2020,St Joseph,12,3
7/24/2020,St Joseph,14,2
7/25/2020,St Joseph,15,8
7/26/2020,St Joseph,8,2
7/27/2020,St Joseph,19,7
7/28/2020,St Joseph,12,8
7/29/2020,St Joseph,9,10
7/30/2020,St Joseph,16,8
7/31/2020,St Joseph,19,6
8/1/2020,St Joseph,12,2
8/2/2020,St Joseph,16,7
8/3/2020,St Joseph,16,2
8/4/2020,St Joseph,19,4
8/5/2020,St Joseph,17,9
8/6/2020,St Joseph,11,4
8/7/2020,St Joseph,15,6
8/8/2020,St Joseph,10,7
8/9/2020,St Joseph,14,4
8/10/2020,St Joseph,13,4
8/11/2020,St Joseph,12,3
8/12/2020,St Joseph,19,8
8/13/2020,St Joseph,10,2
8/14/2020,St Joseph,10,4
8/15/2020,St Joseph,14,1
8/16/2020,St Joseph,10,9
8/17/2020,St Joseph,17,4
8/18/2020,St Joseph,8,4
8/19/2020,St Joseph,5,2
8/20/2020,St Joseph,9,10
8/21/2020,St Joseph,11,8
8/22/2020,St Joseph,12,5
8/23/2020,St Joseph,15,3
8/24/2020,St Joseph,16,7
8/25/2020,St Joseph,10,8
8/26/2020,St Joseph,4,2
8/27/2020,St Joseph,11,5
8/28/2020,St Joseph,7,2
8/29/2020,St Joseph,8,5
8/30/2020,St Joseph,13,4
8/31/2020,St Joseph,4,2
9/1/2020,St Joseph,6,3
9/2/2020,St Joseph,5,4
9/3/2020,St Joseph,17,8
9/4/2020,St Joseph,12,1
9/5/2020,St Joseph,10,2
9/6/2020,St Joseph,8,2
9/7/2020,St Joseph,12,4
9/8/2020,St Joseph,8,1
9/9/2020,St Joseph,12,6
9/10/2020,St Joseph,7,2
9/11/2020,St Joseph,13,3
9/12/2020,St Joseph,7,3
9/13/2020,St Joseph,11,5
9/14/2020,St Joseph,7,4
9/15/2020,St Joseph,5,3
9/16/2020,St Joseph,13,4
9/17/2020,St Joseph,7,2
9/18/2020,St Joseph,3,7
9/19/2020,St Joseph,10,4
9/20/2020,St Joseph,10,6
9/21/2020,St Joseph,11,3
9/22/2020,St Joseph,19,5
9/23/2020,St Joseph,8,5
9/24/2020,St Joseph,11,6
9/25/2020,St Joseph,13,1
9/26/2020,St Joseph,14,7
9/27/2020,St Joseph,9,5
9/28/2020,St Joseph,8,9
9/29/2020,St Joseph,15,9
9/30/2020,St Joseph,11,5
10/1/2020,St Joseph,14,5
10/2/2020,St Joseph,13,7
10/3/2020,St Joseph,10,7
10/4/2020,St Joseph,19,8
10/5/2020,St Joseph,13,7
10/6/2020,St Joseph,8,2
10/7/2020,St Joseph,10,10
10/8/2020,St Joseph,15,6
10/9/2020,St Joseph,11,5
10/10/2020,St Joseph,12,11
10/11/2020,St Joseph,19,10
10/12/2020,St Joseph,17,11
10/13/2020,St Joseph,14,7
10/14/2020,St Joseph,17,5
10/15/2020,St Joseph,19,9
10/16/2020,St Joseph,16,6
10/17/2020,St Joseph,15,9
10/18/2020,St Joseph,6,5
10/19/2020,St Joseph,36,17
10/20/2020,St Joseph,22,9
10/21/2020,St Joseph,12,6
10/22/2020,St Joseph,16,10
10/23/2020,St Joseph,22,7
10/24/2020,St Joseph,12,9
10/25/2020,St Joseph,11,7
10/26/2020,St Joseph,25,10
10/27/2020,St Joseph,29,15
10/28/2020,St Joseph,17,8
10/29/2020,St Joseph,14,10
10/30/2020,St Joseph,23,9
10/31/2020,St Joseph,14,6
11/1/2020,St Joseph,20,3
11/2/2020,St Joseph,17,9
11/3/2020,St Joseph,23,12
11/4/2020,St Joseph,23,6
11/5/2020,St Joseph,22,5
11/6/2020,St Joseph,32,11
11/7/2020,St Joseph,28,13
11/8/2020,St Joseph,27,6
11/9/2020,St Joseph,26,12
11/10/2020,St Joseph,46,14
11/11/2020,St Joseph,27,16
11/12/2020,St Joseph,22,11
11/13/2020,St Joseph,23,13
11/14/2020,St Joseph,27,7
11/15/2020,St Joseph,19,17
11/16/2020,St Joseph,30,18
11/17/2020,St Joseph,25,13
11/18/2020,St Joseph,21,6
11/19/2020,St Joseph,17,14
11/20/2020,St Joseph,34,15
11/21/2020,St Joseph,19,11
11/22/2020,St Joseph,24,15
11/23/2020,St Joseph,25,10
11/24/2020,St Joseph,13,9
11/25/2020,St Joseph,14,8
11/26/2020,St Joseph,18,1
11/27/2020,St Joseph,16,12
11/28/2020,St Joseph,22,1
11/29/2020,St Joseph,4,3
3/1/2020,Starke,0,0
3/2/2020,Starke,1,1
3/3/2020,Starke,1,1
3/4/2020,Starke,0,0
3/5/2020,Starke,0,0
3/6/2020,Starke,0,0
3/7/2020,Starke,0,0
3/8/2020,Starke,1,1
3/9/2020,Starke,0,0
3/10/2020,Starke,0,0
3/11/2020,Starke,0,0
3/12/2020,Starke,0,0
3/13/2020,Starke,0,0
3/14/2020,Starke,0,0
3/15/2020,Starke,0,0
3/16/2020,Starke,0,0
3/17/2020,Starke,0,0
3/18/2020,Starke,0,0
3/19/2020,Starke,0,0
3/20/2020,Starke,0,0
3/21/2020,Starke,0,0
3/22/2020,Starke,0,0
3/23/2020,Starke,0,0
3/24/2020,Starke,0,0
3/25/2020,Starke,0,0
3/26/2020,Starke,0,0
3/27/2020,Starke,1,0
3/28/2020,Starke,0,0
3/29/2020,Starke,0,0
3/30/2020,Starke,0,0
3/31/2020,Starke,0,0
4/1/2020,Starke,0,0
4/2/2020,Starke,0,0
4/3/2020,Starke,0,0
4/4/2020,Starke,0,0
4/5/2020,Starke,0,0
4/6/2020,Starke,0,1
4/7/2020,Starke,0,0
4/8/2020,Starke,0,0
4/9/2020,Starke,0,0
4/10/2020,Starke,0,0
4/11/2020,Starke,0,0
4/12/2020,Starke,0,0
4/13/2020,Starke,0,0
4/14/2020,Starke,0,0
4/15/2020,Starke,1,0
4/16/2020,Starke,0,0
4/17/2020,Starke,0,0
4/18/2020,Starke,0,0
4/19/2020,Starke,1,0
4/20/2020,Starke,0,0
4/21/2020,Starke,1,0
4/22/2020,Starke,0,0
4/23/2020,Starke,0,0
4/24/2020,Starke,0,0
4/25/2020,Starke,0,0
4/26/2020,Starke,0,0
4/27/2020,Starke,0,0
4/28/2020,Starke,0,0
4/29/2020,Starke,0,0
4/30/2020,Starke,0,0
5/1/2020,Starke,0,0
5/2/2020,Starke,0,0
5/3/2020,Starke,0,0
5/4/2020,Starke,1,1
5/5/2020,Starke,1,0
5/6/2020,Starke,0,0
5/7/2020,Starke,0,0
5/8/2020,Starke,1,1
5/9/2020,Starke,0,0
5/10/2020,Starke,0,0
5/11/2020,Starke,2,2
5/12/2020,Starke,0,0
5/13/2020,Starke,0,0
5/14/2020,Starke,0,0
5/15/2020,Starke,1,1
5/16/2020,Starke,1,1
5/17/2020,Starke,0,0
5/18/2020,Starke,1,1
5/19/2020,Starke,0,0
5/20/2020,Starke,1,2
5/21/2020,Starke,0,0
5/22/2020,Starke,1,0
5/23/2020,Starke,1,0
5/24/2020,Starke,0,0
5/25/2020,Starke,3,1
5/26/2020,Starke,0,0
5/27/2020,Starke,0,0
5/28/2020,Starke,1,0
5/29/2020,Starke,2,0
5/30/2020,Starke,2,0
5/31/2020,Starke,0,0
6/1/2020,Starke,1,1
6/2/2020,Starke,0,0
6/3/2020,Starke,1,1
6/4/2020,Starke,0,0
6/5/2020,Starke,2,0
6/6/2020,Starke,0,0
6/7/2020,Starke,0,0
6/8/2020,Starke,1,1
6/9/2020,Starke,0,0
6/10/2020,Starke,1,0
6/11/2020,Starke,0,0
6/12/2020,Starke,0,0
6/13/2020,Starke,1,0
6/14/2020,Starke,0,0
6/15/2020,Starke,0,0
6/16/2020,Starke,1,0
6/17/2020,Starke,0,0
6/18/2020,Starke,0,0
6/19/2020,Starke,1,0
6/20/2020,Starke,0,1
6/21/2020,Starke,0,0
6/22/2020,Starke,0,0
6/23/2020,Starke,2,2
6/24/2020,Starke,0,0
6/25/2020,Starke,1,0
6/26/2020,Starke,1,0
6/27/2020,Starke,0,0
6/28/2020,Starke,0,0
6/29/2020,Starke,0,0
6/30/2020,Starke,0,0
7/1/2020,Starke,0,0
7/2/2020,Starke,1,1
7/3/2020,Starke,0,0
7/4/2020,Starke,2,1
7/5/2020,Starke,1,0
7/6/2020,Starke,1,1
7/7/2020,Starke,0,1
7/8/2020,Starke,0,0
7/9/2020,Starke,0,0
7/10/2020,Starke,1,0
7/11/2020,Starke,2,1
7/12/2020,Starke,1,0
7/13/2020,Starke,0,0
7/14/2020,Starke,1,1
7/15/2020,Starke,0,0
7/16/2020,Starke,1,0
7/17/2020,Starke,1,0
7/18/2020,Starke,1,0
7/19/2020,Starke,0,1
7/20/2020,Starke,1,0
7/21/2020,Starke,0,2
7/22/2020,Starke,1,0
7/23/2020,Starke,1,0
7/24/2020,Starke,1,1
7/25/2020,Starke,0,1
7/26/2020,Starke,0,0
7/27/2020,Starke,1,0
7/28/2020,Starke,0,0
7/29/2020,Starke,0,0
7/30/2020,Starke,2,0
7/31/2020,Starke,0,1
8/1/2020,Starke,0,0
8/2/2020,Starke,0,0
8/3/2020,Starke,0,0
8/4/2020,Starke,0,0
8/5/2020,Starke,0,0
8/6/2020,Starke,0,0
8/7/2020,Starke,0,0
8/8/2020,Starke,0,0
8/9/2020,Starke,0,0
8/10/2020,Starke,0,0
8/11/2020,Starke,2,0
8/12/2020,Starke,0,0
8/13/2020,Starke,0,0
8/14/2020,Starke,0,0
8/15/2020,Starke,0,0
8/16/2020,Starke,0,0
8/17/2020,Starke,0,0
8/18/2020,Starke,1,0
8/19/2020,Starke,1,0
8/20/2020,Starke,0,0
8/21/2020,Starke,0,0
8/22/2020,Starke,1,0
8/23/2020,Starke,0,0
8/24/2020,Starke,2,0
8/25/2020,Starke,1,0
8/26/2020,Starke,0,0
8/27/2020,Starke,0,0
8/28/2020,Starke,1,0
8/29/2020,Starke,1,0
8/30/2020,Starke,0,0
8/31/2020,Starke,0,0
9/1/2020,Starke,1,0
9/2/2020,Starke,1,1
9/3/2020,Starke,1,1
9/4/2020,Starke,0,0
9/5/2020,Starke,0,0
9/6/2020,Starke,1,0
9/7/2020,Starke,0,0
9/8/2020,Starke,0,1
9/9/2020,Starke,1,0
9/10/2020,Starke,0,0
9/11/2020,Starke,0,0
9/12/2020,Starke,2,0
9/13/2020,Starke,0,0
9/14/2020,Starke,2,2
9/15/2020,Starke,0,0
9/16/2020,Starke,0,0
9/17/2020,Starke,0,0
9/18/2020,Starke,0,0
9/19/2020,Starke,0,0
9/20/2020,Starke,1,0
9/21/2020,Starke,1,1
9/22/2020,Starke,1,1
9/23/2020,Starke,0,0
9/24/2020,Starke,1,0
9/25/2020,Starke,2,0
9/26/2020,Starke,1,0
9/27/2020,Starke,1,0
9/28/2020,Starke,3,1
9/29/2020,Starke,1,1
9/30/2020,Starke,1,1
10/1/2020,Starke,0,0
10/2/2020,Starke,1,0
10/3/2020,Starke,1,0
10/4/2020,Starke,0,0
10/5/2020,Starke,0,0
10/6/2020,Starke,1,1
10/7/2020,Starke,1,0
10/8/2020,Starke,1,2
10/9/2020,Starke,0,0
10/10/2020,Starke,1,1
10/11/2020,Starke,0,0
10/12/2020,Starke,2,0
10/13/2020,Starke,1,1
10/14/2020,Starke,1,1
10/15/2020,Starke,0,0
10/16/2020,Starke,0,0
10/17/2020,Starke,1,0
10/18/2020,Starke,2,0
10/19/2020,Starke,3,2
10/20/2020,Starke,0,2
10/21/2020,Starke,0,0
10/22/2020,Starke,2,3
10/23/2020,Starke,1,0
10/24/2020,Starke,0,0
10/25/2020,Starke,2,1
10/26/2020,Starke,1,0
10/27/2020,Starke,4,2
10/28/2020,Starke,1,0
10/29/2020,Starke,0,0
10/30/2020,Starke,2,1
10/31/2020,Starke,1,1
11/1/2020,Starke,4,1
11/2/2020,Starke,1,0
11/3/2020,Starke,0,1
11/4/2020,Starke,1,1
11/5/2020,Starke,4,0
11/6/2020,Starke,1,1
11/7/2020,Starke,1,1
11/8/2020,Starke,1,0
11/9/2020,Starke,2,0
11/10/2020,Starke,2,0
11/11/2020,Starke,3,2
11/12/2020,Starke,3,0
11/13/2020,Starke,1,0
11/14/2020,Starke,1,0
11/15/2020,Starke,0,2
11/16/2020,Starke,0,1
11/17/2020,Starke,2,0
11/18/2020,Starke,2,0
11/19/2020,Starke,1,0
11/20/2020,Starke,4,0
11/21/2020,Starke,0,0
11/22/2020,Starke,0,0
11/23/2020,Starke,1,2
11/24/2020,Starke,0,0
11/25/2020,Starke,0,1
11/26/2020,Starke,0,1
11/27/2020,Starke,1,1
11/28/2020,Starke,0,2
11/29/2020,Starke,1,0
3/1/2020,Steuben,1,0
3/2/2020,Steuben,1,0
3/3/2020,Steuben,0,0
3/4/2020,Steuben,0,0
3/5/2020,Steuben,0,0
3/6/2020,Steuben,0,0
3/7/2020,Steuben,1,1
3/8/2020,Steuben,0,0
3/9/2020,Steuben,0,0
3/10/2020,Steuben,1,0
3/11/2020,Steuben,1,1
3/12/2020,Steuben,0,0
3/13/2020,Steuben,1,0
3/14/2020,Steuben,0,0
3/15/2020,Steuben,1,0
3/16/2020,Steuben,1,0
3/17/2020,Steuben,0,0
3/18/2020,Steuben,0,0
3/19/2020,Steuben,1,0
3/20/2020,Steuben,0,0
3/21/2020,Steuben,0,0
3/22/2020,Steuben,1,0
3/23/2020,Steuben,1,1
3/24/2020,Steuben,0,0
3/25/2020,Steuben,0,0
3/26/2020,Steuben,1,1
3/27/2020,Steuben,1,0
3/28/2020,Steuben,0,0
3/29/2020,Steuben,0,0
3/30/2020,Steuben,0,1
3/31/2020,Steuben,1,1
4/1/2020,Steuben,2,2
4/2/2020,Steuben,1,1
4/3/2020,Steuben,0,0
4/4/2020,Steuben,0,0
4/5/2020,Steuben,2,2
4/6/2020,Steuben,0,0
4/7/2020,Steuben,0,0
4/8/2020,Steuben,1,0
4/9/2020,Steuben,0,0
4/10/2020,Steuben,0,0
4/11/2020,Steuben,0,0
4/12/2020,Steuben,1,1
4/13/2020,Steuben,0,0
4/14/2020,Steuben,1,0
4/15/2020,Steuben,0,1
4/16/2020,Steuben,1,0
4/17/2020,Steuben,0,0
4/18/2020,Steuben,0,0
4/19/2020,Steuben,0,0
4/20/2020,Steuben,0,0
4/21/2020,Steuben,1,1
4/22/2020,Steuben,1,0
4/23/2020,Steuben,0,0
4/24/2020,Steuben,0,0
4/25/2020,Steuben,1,0
4/26/2020,Steuben,0,0
4/27/2020,Steuben,0,0
4/28/2020,Steuben,1,1
4/29/2020,Steuben,1,0
4/30/2020,Steuben,0,0
5/1/2020,Steuben,0,0
5/2/2020,Steuben,0,0
5/3/2020,Steuben,0,0
5/4/2020,Steuben,0,0
5/5/2020,Steuben,0,0
5/6/2020,Steuben,2,2
5/7/2020,Steuben,0,0
5/8/2020,Steuben,1,0
5/9/2020,Steuben,1,0
5/10/2020,Steuben,0,0
5/11/2020,Steuben,1,0
5/12/2020,Steuben,1,0
5/13/2020,Steuben,0,0
5/14/2020,Steuben,0,0
5/15/2020,Steuben,2,1
5/16/2020,Steuben,0,0
5/17/2020,Steuben,0,0
5/18/2020,Steuben,0,0
5/19/2020,Steuben,0,0
5/20/2020,Steuben,0,1
5/21/2020,Steuben,3,0
5/22/2020,Steuben,0,0
5/23/2020,Steuben,0,1
5/24/2020,Steuben,0,0
5/25/2020,Steuben,0,0
5/26/2020,Steuben,0,0
5/27/2020,Steuben,0,0
